縣市,案名,狀態,動工日期,(預計)完工日期,戶數,樓數,地址,Latitude,Longitude
台中市,[台中] 豬事圓滿好宅,待開工,114/6/30,118/11/30,1085,1,台中市北區興進路1號,24.1553297,120.6992654
台中市,[台中] 石平好室A,待開工,114/6/30,117/6/30,156,1,407台中市西屯區石平街38號,24.1798008,120.6639743
台中市,[台中] 石平好室B,待開工,114/6/30,117/6/30,83,1,407台中市西屯區大鵬路158巷2弄5號,24.179375,120.664275
台中市,[台中] 春社安居B,待開工,114/8/1,117/12/31,394,1,408台中市南屯區125縣道41號,24.1408388,120.6129696
台中市,[台中] 春安安居,待開工,115/1/5,117/8/31,307,1,408台中市南屯區春安路56巷12號,24.13341,120.6093498
台中市,[台中] 國豐安居A,待開工,114/11/30,118/11/30,216,1,06台中市北屯區天祥街17巷4弄17號,24.1613705,120.6967032
台中市,[台中] 洲際好宅,待開工,114/4/30,118/12/31,840,1,406台中市北屯區長生巷4-36號,24.1982933,120.6872184
台中市,[台中] 新平好室,待開工,114/5/30,117/3/23,154,1,406台中市北屯區經貿一路158巷52號,24.1834124,120.6610599
台中市,[台中] 永富好室,待開工,114/9/30,117/9/16,160,1,411台中市太平區長億六街126巷,24.1196925,120.7164614
台中市,[台中] 光正三期好宅,興建中,107/11/7,"114/7/10	",560,1,臺中市大里區仁化路8號旁,24.0918442,120.7293297
台中市,[台中] 干城好宅,興建中,113/9/25,117/12/31,481,1,401台中市東區雙十路一段8-32號,24.1444522,120.6864289
台中市,[台中] 春社安居A,興建中,113/3/26,117/1/11,402,1,408台中市南屯區春安三街225號,24.1354787,120.6078409
台中市,[台中] 國安段二期三期好宅,興建中,113/10/24,"118/4/30	",780,1,福林路、玉門路,24.1887545,120.6104502
台中市,[台中] 中央公園好宅,興建中,113/3/15,116/12/31,127,1,經貿六路、經貿五路,24.1911968,120.6523963
台中市,[台中] 光正好宅,待開工,114/6/30,117/12/31,600,1,412台中市大里區仁化路200-3號,24.094635,120.715109
台中市,[台中] 市政好宅,興建中,110/12/22,114/7/31,400,1,西屯區青海路、惠中路口,24.1667813,120.6476749
台中市,[台中] 廍子安居,興建中,113/8/9,"117/8/17	",1430,1,406台中市北屯區軍福九路291號,24.1692879,120.7268037
台中市,[台中] 惠民安居,興建中,112/6/2,116/2/28,210,1,407台中市西屯區西屯路二段111-18號,24.168417,120.648846
台中市,[台中] 建功段7地號,興建中,110/8/31,"114/12/31	",101,1,408台灣南屯區建功路71號,24.1365631,120.6094978
台中市,[台中] 松竹好室,興建中,113/4/10,116/10/10,110,1,406台中市北屯區松竹五路一段58號,24.1743226,120.7024358
台中市,[台中] 東光好室,興建中,113/7/4,116/10/10,123,1,406台中市北屯區南興一路15號,24.1724529,120.7043339
台中市,[台中] 巨蛋二期好宅,興建中,114/2/24,117/7/31,300,1,臺中市北屯區新興路及新興路187巷路口,24.1979378,120.6644488
台中市,[台中] 安康二期好宅,興建中,109/2/11,114/12/31,500,1,臺中市豐原區永康路280號,24.2402809,120.7229538
台中市,[台中] 頭家安居,興建中,112/8/7,115/1/31,490,1,427台中市潭子區和平路16巷38號,24.1956271,120.6990063
台中市,[台中] 高鐵好宅,興建中,111/5/16,114/6/30,270,1,烏日區三榮十七路及健行南一路交叉口,24.1108213,120.5905736
台中市,[台中] 榮泉安居,興建中,113/4/2,117/1/31,206,1,台中市烏日區三榮十七路1號,24.1107399,120.591811
台中市,[台中] 吉峰安居,興建中,113/9/10,"116/10/29	",534,1,413台中市霧峰區1297巷,24.0442951,120.734995
台中市,[台中] 育賢三期好宅,興建中,110/6/23,114/7/31,250,1,411台中市太平區環中東路三段&號育才路,24.1565681,120.7174111
台中市,[台中] 光正二期好宅,興建中,110/3/28,114/5/31,232,1,臺中市大里區仁化路10號,24.0918409,120.7293146
